"","phylum","gene","description"
"100","firmicutes","FIG01321859",NA
"101","firmicutes","FIG00521893","uncharacterized conserved protein, YgiN family"
"102","firmicutes","FIG01359934","cell wall lytic activity"
"103","firmicutes","FIG00102933","Chemotaxis protein CheX"
"104","firmicutes","FIG00002453","Carbon storage regulator"
"105","firmicutes","FIG01926455","FIG01225507: hypothetical protein"
"106","firmicutes","FIG01327466","PROBABLE EXPORTED PROTEIN"
"107","firmicutes","FIG00996917","Gas vesicle K"
"108","firmicutes","FIG00003448","Anaerobic nitric oxide reductase flavorubredoxin"
"109","firmicutes","FIG01180053","FIG01180054: hypothetical protein"
"110","firmicutes","FIG00522152","FIG00522153: hypothetical protein"
"111","firmicutes","FIG00524651","FIG00524654: hypothetical protein"
"112","firmicutes","FIG00524659","FIG00524667: hypothetical protein"
"113","firmicutes","FIG00010285","Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)"
"114","firmicutes","FIG00523350","FIG00523353: hypothetical protein"
"115","firmicutes","FIG01045463","ATP-dependent helicase HrpB"
"116","firmicutes","FIG01230943","FIG01230945: hypothetical protein"
"117","firmicutes","FIG00518849","FIG00518852: hypothetical protein"
"118","firmicutes","FIG00000816","Flagellin protein FlaA"
"119","firmicutes","FIG01200771","FIG01200772: hypothetical protein"
"120","firmicutes","FIG00530639","FIG00530641: hypothetical protein"
"121","firmicutes","FIG00012387","Probable carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23)"
"122","firmicutes","FIG01307755","FIG00513685: hypothetical protein"
"123","firmicutes","FIG00664607","Sulfatase (EC 3.1.6.-)"
"124","firmicutes","FIG00525978","transcriptional regulators, AcrR family"
"125","firmicutes","FIG00628027","protein of unknown function UPF0118"
"126","firmicutes","FIG00892614","ankyrin repeat-containing protein"
"127","firmicutes","FIG00133923","Anthranilate synthase, aminase component (EC 4.1.3.27) / Anthranilate synthase, amidotransferase component (EC 4.1.3.27)"
"128","firmicutes","FIG00522962","FIG00522964: hypothetical protein"
"129","firmicutes","FIG01495436","Alkylhydroperoxidase AhpD core"
"130","firmicutes","FIG00528061","FIG00528062: hypothetical protein"
"131","firmicutes","FIG00598646","FIG00598655: hypothetical protein"
"132","firmicutes","FIG00517388","Homolog of cell division GTPase FtsZ, diverged"
"133","firmicutes","FIG01247922","transcriptional regulator (Lrp/AsnC family)"
"134","firmicutes","FIG01800695","HD-GYP domain-like protein"
"135","firmicutes","FIG00515730","FIG00515732: hypothetical protein"
"136","firmicutes","FIG00991199","Nitrogenase subunit NifH paralog, type 1"
"137","firmicutes","FIG00522637","FIG00522638: hypothetical protein"
"138","firmicutes","FIG01471375","Similar to C-ter. fragment of UDP-glucuronosyltransferases, YpfP B.subtilis related"
"139","firmicutes","FIG00002550","Nitrogenase (molybdenum-iron) alpha chain (EC 1.18.6.1)"
"140","firmicutes","FIG01408132","FIG00522570: hypothetical protein"
"141","firmicutes","FIG00133521","Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) / Adenylylsulfate kinase (EC 2.7.1.25)"
"142","firmicutes","FIG01233927","FIG01233928: hypothetical protein"
"143","firmicutes","FIG00012565","Spore coat protein S"
"144","firmicutes","FIG00529559","FIG00529560: hypothetical protein"
"145","firmicutes","FIG01309989",NA
"146","firmicutes","FIG01227143","FkbH"
"147","firmicutes","FIG00003039","Right origin-binding protein"
"148","firmicutes","FIG01898763","protein of unknown function DUF985"
"149","firmicutes","FIG00534011","biotin/lipoyl attachment protein"
"150","firmicutes","FIG00028260","Malonate transporter, MadL subunit"
"151","firmicutes","FIG00521049","FIG00521056: hypothetical protein"
"152","firmicutes","FIG00515301","FIG00515303: hypothetical protein"
"153","firmicutes","FIG01478243","COG2860: Predicted membrane protein"
"154","firmicutes","FIG01710201","Uncharacterized secreted protein, containing cell adhesion domain"
"155","firmicutes","FIG01304849",NA
"156","firmicutes","FIG00513824","Stage IV sporulation protein"
"157","firmicutes","FIG00025360","Flagellar motor rotation protein MotB"
"158","firmicutes","FIG00518916","FIG00518917: hypothetical protein"
"159","firmicutes","FIG00530921","FIG00530923: hypothetical protein"
"160","firmicutes","FIG00529202","FIG00529204: hypothetical protein"
"161","firmicutes","FIG01355120","Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase"
"162","firmicutes","FIG00611306","conserved hypothetical protein VrlP"
"163","firmicutes","FIG00527404","Ribose ABC transporter, periplasmic ribose-binding protein rbsB (TC 3.A.1.2.1)"
"164","firmicutes","FIG00009628","Programmed cell death toxin YdcE"
"165","firmicutes","FIG00513950","FIG00513955: hypothetical protein"
"166","firmicutes","FIG00525803","FIG00525815: hypothetical protein"
"167","firmicutes","FIG00512806","FIG00512810: hypothetical protein"
"168","firmicutes","FIG00589811","FIG00589813: hypothetical protein"
"169","firmicutes","FIG00521270","Conserved protein, tetratricopeptide repeat family protein"
"170","firmicutes","FIG00000452","Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)"
"171","firmicutes","FIG00524819","FIG00524822: hypothetical protein"
"172","firmicutes","FIG00519932","FIG00519935: hypothetical protein"
"173","firmicutes","FIG00054551","Iron compound ABC uptake transporter ATP-binding protein PiaD"
"174","firmicutes","FIG00814940","glycoside hydrolase, family 26"
"175","firmicutes","FIG01545030",NA
"176","firmicutes","FIG01226320","transcriptional regulator, merR family"
"177","firmicutes","FIG01651906","Possible D-alanyl carrier protein, acyl carrier protein family"
"178","firmicutes","FIG00526967","FIG00526971: hypothetical protein"
"179","firmicutes","FIG01309842","Zn-dependent hydrolases of the metallo-beta-lactamase superfamily"
"180","firmicutes","FIG01525420","FIG00514070: hypothetical protein"
"181","firmicutes","FIG01403952","CspA"
"182","firmicutes","FIG00001063","Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)"
"183","firmicutes","FIG01501370","Uncharacterized predicted metal-binding protein"
"184","firmicutes","FIG01103965","ABC transporter sugar binding protein"
"185","firmicutes","FIG00013313","ATP-dependent RNA helicase YxiN"
"186","firmicutes","FIG00515025","FIG00515026: hypothetical protein"
"187","firmicutes","FIG00525455","FIG00525456: hypothetical protein"
"188","firmicutes","FIG01784583","phosphosugar-binding transcriptional regulator, RpiR family"
"189","firmicutes","FIG00516233","FIG00516234: hypothetical protein"
"190","firmicutes","FIG00515227","FIG00515228: hypothetical protein"
"191","firmicutes","FIG01045148",NA
"192","firmicutes","FIG01230583","trkA domain protein"
"193","firmicutes","FIG01232985","ComP"
"194","firmicutes","FIG00529796","FIG00529799: hypothetical protein"
"195","firmicutes","FIG01456176","FIG01233340: hypothetical protein"
"196","firmicutes","FIG00531289","FIG00531290: hypothetical protein"
"197","firmicutes","FIG00453294","ABC transporter amino acid-binding protein"
"198","firmicutes","FIG00554631","Uncharacterized zinc-type alcohol dehydrogenase-like protein ybdR"
"199","firmicutes","FIG01503364","Hypothetical protein, CF-22 family"
"200","firmicutes","FIG00517788","FIG00517789: hypothetical protein"
"201","firmicutes","FIG01074451","Ornithine decarboxylase (EC 4.1.1.17) / Arginine decarboxylase (EC 4.1.1.19)"
"202","firmicutes","FIG01240178","FIG01240180: hypothetical protein"
"203","firmicutes","FIG00002685","Cyanoglobin; Hemoglobin-like protein HbN"
"204","firmicutes","FIG00000821","Adenylylsulfate kinase (EC 2.7.1.25)"
"205","firmicutes","FIG00522779","FIG00522781: hypothetical protein"
"206","firmicutes","FIG00001943","FIG001943: hypothetical protein YajQ"
"207","firmicutes","FIG01572776","uncharacterized domain 1"
"208","firmicutes","FIG01386789","Possible sigma factor"
"209","firmicutes","FIG01163534","radical SAM superfamily protein"
"210","firmicutes","FIG01514126","FIG00516799: hypothetical protein"
"211","firmicutes","FIG01434597","FIG00524842: hypothetical protein"
"212","firmicutes","FIG00132717","ATP-dependent protease La (EC 3.4.21.53) Type II"
"213","firmicutes","FIG00000668","Flagellar hook-associated protein FliD"
"214","firmicutes","FIG01477179","Methionyl-tRNA synthetase-related protein 2"
"215","firmicutes","FIG00040274","ATP-dependent protease LonB-like Type I"
"216","firmicutes","FIG00003439","Spore maturation protein A"
"217","firmicutes","FIG00468856","Coat F domain protein"
"218","firmicutes","FIG00002745","Flagellar biosynthesis protein FliZ"
"219","firmicutes","FIG01240484","FIG01240486: hypothetical protein"
"220","firmicutes","FIG00518286","FIG00518287: hypothetical protein"
"221","firmicutes","FIG00518282","Dimethylamine corrinoid protein 2"
"222","firmicutes","FIG00528070","FIG00528076: hypothetical protein"
"223","firmicutes","FIG01447793","phage-related baseplate assembly protein"
"224","firmicutes","FIG01683234","Membrane permease, predicted cation efflux pumps"
"225","firmicutes","FIG01643926","FIG01233232: hypothetical protein"
"226","firmicutes","FIG00937059","FenI"
"227","firmicutes","FIG00108124","Flagellar biosynthesis protein FliQ"
"228","firmicutes","FIG00521285","FIG00521287: hypothetical protein"
"229","firmicutes","FIG00055134","Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M (as in PMID19099556)"
"230","firmicutes","FIG01336894","FIG00521676: hypothetical protein"
"231","firmicutes","FIG00516351","FIG00516353: hypothetical protein"
"232","firmicutes","FIG00519361","glycoside hydrolase, family 8"
"233","firmicutes","FIG00525959","FIG00525960: hypothetical protein"
"234","firmicutes","FIG00513243","endodeoxyribonuclease RusA family protein"
"235","firmicutes","FIG00002041","Flagellar motor switch protein FliN"
"236","firmicutes","FIG00001094","Phenylacetate-coenzyme A ligase (EC 6.2.1.30)"
"237","firmicutes","FIG01031938","Translocation-enhancing protein TepA"
"238","firmicutes","FIG01371060","Outer membrane protein romA"
"239","firmicutes","FIG00527241","protein of unknown function DUF990"
"240","firmicutes","FIG00527790","FIG00527791: hypothetical protein"
"241","firmicutes","FIG01309504","Zinc transporter, ZIP family"
"242","firmicutes","FIG01925377","multitransmembrane protein-like"
"243","firmicutes","FIG01255539","FIG01255540: hypothetical protein"
"244","firmicutes","FIG00645455","FIG00645459: hypothetical protein"
"245","firmicutes","FIG00516870","Probable calcium-transporting ATPase"
"246","firmicutes","FIG01955892","Amidases related to nicotinamidase"
"247","firmicutes","FIG00531131","sodium transporter family protein"
"248","firmicutes","FIG00527456","HAD-superfamily hydrolase, subfamily IB (PSPase-like),HAD-superfamily subfamily IB hydrolase, hypothetical 1"
"249","firmicutes","FIG00002508","Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog"
"250","firmicutes","FIG00513000","FIG00513002: hypothetical protein"
"251","firmicutes","FIG00006970","Nickel transport system permease protein NikB (TC 3.A.1.5.3)"
"252","firmicutes","FIG00654776","FIG01123047: hypothetical protein"
"253","firmicutes","FIG00526935","FIG00526936: hypothetical protein"
"254","firmicutes","FIG00024510","NAD(P)H oxidoreductase YRKL (EC 1.6.99.-) @ Putative NADPH-quinone reductase (modulator of drug activity B) @ Flavodoxin 2"
"255","firmicutes","FIG01414608","Phosphoglycolate phosphatase"
"256","firmicutes","FIG00004628","Predicted signal transduction protein"
"257","firmicutes","FIG00012860","Uncharacterized protein YppC"
"258","firmicutes","FIG01640357","HD superfamily hydrolase"
"259","firmicutes","FIG00630298","pentapeptide repeat family protein"
"260","firmicutes","FIG00933750",NA
"261","firmicutes","FIG01310466","Molybdenum cofactor biosynthesis enzyme and related Fe-S oxidoreductases"
"262","firmicutes","FIG01427925","FIG00532782: hypothetical protein"
"263","firmicutes","FIG01360618","Phospholipase/carboxylesterase"
"264","firmicutes","FIG00054317","Urea carboxylase-related ABC transporter, periplasmic substrate-binding protein"
"265","firmicutes","FIG01959462","Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 2"
"266","firmicutes","FIG01240431","Bacterial ring hydroxylating dioxygenase alpha-subunit"
"267","firmicutes","FIG00524621","Alpha/beta superfamily hydrolase (possible chloroperoxidase)"
"268","firmicutes","FIG01264018","6-phosphogluconolactonase (EC 3.1.1.31)"
"269","firmicutes","FIG00512917","FIG00512919: hypothetical protein"
"270","firmicutes","FIG00945920","putative two-component response regulator"
"271","firmicutes","FIG00017306","Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)"
"272","firmicutes","FIG00132936","Hexose phosphate transport protein UhpT"
"273","firmicutes","FIG01235650","group-specific protein"
"274","firmicutes","FIG00516938","ThlR, HTH transcriptional regulator TetR/AcrR family"
"275","firmicutes","FIG00518094","FIG00518095: hypothetical protein"
"276","firmicutes","FIG00042781","Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)"
"277","firmicutes","FIG00694584","COG2335: Secreted and surface protein containing fasciclin-like repeats"
"278","firmicutes","FIG01073532","Chloramphenicol acetyltransferase (EC 2.3.1.28)"
"279","firmicutes","FIG01441705","Uncharacterized conserved protein, YitT family protein"
"280","firmicutes","FIG01169552","Sulfite oxidase and related enzymes"
"281","firmicutes","FIG00000583","RNA-binding protein Hfq"
"282","firmicutes","FIG00000587","Flagellar basal-body rod protein FlgC"
"283","firmicutes","FIG01519984","Acetylxylan esterase, acyl-CoA esterase or GDSL lipase family, strong similarity to C-terminal region of endoglucanase E precursor"
"284","firmicutes","FIG01360321","Acetyl-CoA hydrolase"
"285","firmicutes","FIG00523143","FIG00523145: hypothetical protein"
"286","firmicutes","FIG00720223","nitrogen-fixing NifU domain protein"
"287","firmicutes","FIG01225550","FIG01225551: hypothetical protein"
"288","firmicutes","FIG00508036","diguanylate cyclase/phosphodiesterase with PAS/PAC and GAF sensor(s)"
"289","firmicutes","FIG01341390","Surface protein PspC"
"290","firmicutes","FIG01323262","ATPase with chaperone activity, ATP-binding domain, diverged"
"291","firmicutes","FIG00525744","TPR repeat domain containing protein"
"292","firmicutes","FIG00554083","Gifsy-2 prophage protein"
"293","firmicutes","FIG01258694","Alkyl hydroperoxide reductase subunit C-like protein"
"294","firmicutes","FIG00591772","Tungstate ABC transporter, periplasmic substrate-binding protein WtpA"
"295","firmicutes","FIG00532849","Endoglucanase Z precursor"
"296","firmicutes","FIG00527897","FIG00527899: hypothetical protein"
"297","firmicutes","FIG01956133",NA
"298","firmicutes","FIG01627011","superfamily I DNA helicase"
"299","firmicutes","FIG01320438","TspO/MBR family protein"
"300","firmicutes","FIG00513374","Transcriptional regulator (LacI family)"
"301","firmicutes","FIG00517869","cellulosome anchoring protein, cohesin region"
"302","firmicutes","FIG01670170","Possible transcriptional regulator from YAEG/LRPR family"
"303","firmicutes","FIG00515192","FIG00515195: hypothetical protein"
"304","firmicutes","FIG01245201","FIG01246635: hypothetical protein"
"305","firmicutes","FIG00578578",NA
"306","firmicutes","FIG01336592","Pyruvate:Oxaloacetate transcarboxylase domain protein"
"307","firmicutes","FIG00008273","N-acetylneuraminate synthase (EC 2.5.1.56)"
"308","firmicutes","FIG00523968","Chain A, Structural And Active Site Modification Studies Implicate Glu, Trp And Arg In The Activity Of Xylanase From Alkalophilic Bacillus Sp. (Ncl 87-6-10)."
"309","firmicutes","FIG00134830","Lysine 2,3-aminomutase (EC 5.4.3.2)"
"310","firmicutes","FIG01954840","Tetracycline resistance protein TetP"
"311","firmicutes","FIG00529530","FIG00529532: hypothetical protein"
"312","firmicutes","FIG01389938","similar to Cellobiose phosphorylase"
"313","firmicutes","FIG01455571","capsular polysaccharide biosynthesis glycosyltransferase"
"314","firmicutes","FIG01638759","endoglucanase"
"315","firmicutes","FIG00519824","FIG00519825: hypothetical protein"
"316","firmicutes","FIG00532752","FIG00532760: hypothetical protein"
"317","firmicutes","FIG01646274","Tetracycline efflux pump TetA(P)"
"318","firmicutes","FIG00069725","Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)"
"319","firmicutes","FIG00005728","Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)"
"320","firmicutes","FIG00009601","Probable low-affinity inorganic phosphate transporter"
"321","firmicutes","FIG00513060","Zn-finger containing protein, csfB B.subtilis homolog"
"322","firmicutes","FIG00583923","FIG00583938: hypothetical protein"
"323","firmicutes","FIG00516801","NADPH-dependent butanol dehydrogenase"
"324","firmicutes","FIG01226066","aminopeptidase"
"325","firmicutes","FIG01383565","NADH:flavin oxidoreductase"
"326","firmicutes","FIG01672755","acyl-protein synthetase, LuxE"
"327","firmicutes","FIG01459988","ABC transporter (permease)"
"328","firmicutes","FIG00522810","FIG00522814: hypothetical protein"
"329","firmicutes","FIG00102132","Deoxycytidine triphosphate deaminase (EC 3.5.4.13)"
"330","firmicutes","FIG01318209","Purple acid phosphatase/fibronectin domain protein"
"331","firmicutes","FIG00521060","FIG00521061: hypothetical protein"
"332","firmicutes","FIG00646264","Peptidase T (EC 3.4.11.4)"
"333","firmicutes","FIG00528508","FIG00528509: hypothetical protein"
"334","firmicutes","FIG01234567","gas vesicle protein GvpT"
"335","firmicutes","FIG00530355","FIG00530357: hypothetical protein"
"336","firmicutes","FIG00523245","FIG00523248: hypothetical protein"
"337","firmicutes","FIG01019926","tRNA and rRNA cytosine-C5-methylase"
"338","firmicutes","FIG01227824","FIG01227825: hypothetical protein"
"339","firmicutes","FIG00519709","FIG00519710: hypothetical protein"
"340","firmicutes","FIG00514776","FIG00514777: hypothetical protein"
"341","firmicutes","FIG00522173","FIG00522176: hypothetical protein"
"342","firmicutes","FIG01337084","IS605/IS200-like transposase"
"343","firmicutes","FIG01116391","putative phage integrase"
"344","firmicutes","FIG00062522","Cyanophycinase (EC 3.4.15.6)"
"345","firmicutes","FIG00525822","FIG00525823: hypothetical protein"
"346","firmicutes","FIG01726440","Pectate lyase"
"347","firmicutes","FIG01491678","aminoglycoside N3-acetyltransferase"
"348","firmicutes","FIG00000438","Flagellar motor rotation protein MotA"
"349","firmicutes","FIG00708917","stage II sporulation protein P"
"350","firmicutes","FIG01953937","Iron compound ABC uptake transporter substrate-binding protein PiaA"
"351","firmicutes","FIG00778928","Resolvase, N-terminal domain"
"352","firmicutes","FIG00677194","GPW/gp25 family protein"
"353","firmicutes","FIG01225742","Non-heme chloroperoxidase (EC 1.11.1.10)"
"354","firmicutes","FIG01774502","barstar-like protein ribonuclease (barnase) inhibitor"
"355","firmicutes","FIG00958071","probable thioredoxin"
"356","firmicutes","FIG00015923","ThiJ/PfpI family protein"
"357","firmicutes","FIG01528261","Putative cyclase"
"358","firmicutes","FIG00014348","Urea ABC transporter, ATPase protein UrtE"
"359","firmicutes","FIG00002298","Membrane protein, distant similarity to thiosulphate:quinone oxidoreductase DoxD"
"360","firmicutes","FIG00523952","FIG00523963: hypothetical protein"
"361","firmicutes","FIG00257341","Homocitrate synthase alpha subunit (EC 2.3.3.14)"
"362","firmicutes","FIG00697952","putative phage tail component"
"363","firmicutes","FIG00628273","transcriptional regulator, AraC family"
"364","firmicutes","FIG00910336",NA
"365","firmicutes","FIG00035634","Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)"
"366","firmicutes","FIG00516274","FIG00516275: hypothetical protein"
"367","firmicutes","FIG00522492","FIG00522496: hypothetical protein"
"368","firmicutes","FIG00527260","FIG00527263: hypothetical protein"
"369","firmicutes","FIG00512941","Pectinesterase( EC:3.1.1.11 )"
"370","firmicutes","FIG00005647","Chemotaxis protein CheD"
"371","firmicutes","FIG00517818","FIG00517819: hypothetical protein"
"372","firmicutes","FIG01541419","SoxR family transcriptional regulator fused to SAM-dependent methyltransferase"
"373","firmicutes","FIG00001754","Ku domain protein"
"374","firmicutes","FIG01873448","exopolysaccharide polymerization protein"
"375","firmicutes","FIG00003867","Hydrogenase-4 component C"
"376","firmicutes","FIG00437326","Flagellar hook protein FlgE"
"377","firmicutes","FIG01304212",NA
"378","firmicutes","FIG00518268","FIG00518272: hypothetical protein"
"379","firmicutes","FIG01227741","FIG01227743: hypothetical protein"
"380","firmicutes","FIG00010489","5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20) / Homolog of homocysteine-binding domain"
"381","firmicutes","FIG01956356","Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)"
"382","firmicutes","FIG00002931","Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)"
"383","firmicutes","FIG00003088","Arsenical pump-driving ATPase (EC 3.6.3.16)"
"384","firmicutes","FIG00531835","FIG00531844: hypothetical protein"
"385","firmicutes","FIG00521806","FIG00521807: hypothetical protein"
"386","firmicutes","FIG00523477","FIG00523479: hypothetical protein"
"387","firmicutes","FIG01603851","ABC transporter, ATP binding-protein"
"388","firmicutes","FIG01670746","7TM domain sensor diguanylate cyclase"
"389","firmicutes","FIG00031351","Tetratrico-peptide repeat (TPR) protein within ESAT-6 gene cluster"
"390","firmicutes","FIG01165896","AzlC-like"
"391","firmicutes","FIG00000728","Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)"
"392","firmicutes","FIG01623876","ATP-binding region, ATPase-like:Histidine kinase A-like"
"393","firmicutes","FIG01330063","N-acetylglucosaminyltransferase (EC 2.4.1.-)"
