"","phylum","gene","description"
"57","firmicutes","FIG00523991","FIG00523993: hypothetical protein"
"58","firmicutes","FIG01233897","FIG01233899: hypothetical protein"
"59","firmicutes","FIG00513209","FIG00513210: hypothetical protein"
"60","firmicutes","FIG01304149","Glutathione S-transferase domain protein"
"61","firmicutes","FIG01379940","Phage Holliday junction resolvase"
"62","firmicutes","FIG00544119","predicted acetyltransferase"
"63","firmicutes","FIG01452423","FIG00623120: hypothetical protein"
"64","firmicutes","FIG01440345","Nitrogen regulation protein NIFR3"
"65","firmicutes","FIG01425487","mobilization/transfer protein"
"66","firmicutes","FIG01032208","FIG01032209: hypothetical protein"
"67","firmicutes","FIG01032202",NA
"68","firmicutes","FIG00036320","Alpha-1,4-N-acetylgalactosamine transferase PglJ (EC 2.4.1.-)"
"69","firmicutes","FIG01339412","Transcription regulator"
"70","firmicutes","FIG00137542","Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)"
"71","firmicutes","FIG00017282","PTS system permease (IIAMan), nitrogen regulatory IIA protein"
"72","firmicutes","FIG00013075","FIG013075: PPE family protein"
"73","firmicutes","FIG00519775","FIG00519778: hypothetical protein"
"74","firmicutes","FIG00515764","VanZ"
"75","firmicutes","FIG00668663","8-oxoguanine DNA glycosylase"
"76","firmicutes","FIG00873763","FIG00873771: hypothetical protein"
"77","firmicutes","FIG01413562","MocB-like protein"
"78","firmicutes","FIG01197100","FIG01197102: hypothetical protein"
"79","firmicutes","FIG00003654","Stage IV sporulation protein A"
"80","firmicutes","FIG01032079","FIG01032080: hypothetical protein"
"81","firmicutes","FIG00589900","Sensory transduction protein yxdJ"
"82","firmicutes","FIG01032076","FIG01032077: hypothetical protein"
"83","firmicutes","FIG01681111","FIG00513666: hypothetical protein"
"84","firmicutes","FIG00002214","Xylose activator XylR (AraC family)"
"85","firmicutes","FIG00632586","FIG00632587: hypothetical protein"
"86","firmicutes","FIG00521734","FIG00521740: hypothetical protein"
"87","firmicutes","FIG01395773","ThMPase type I predicted"
"88","firmicutes","FIG01032506","FIG01032508: hypothetical protein"
"89","firmicutes","FIG01032501","FIG00515792: hypothetical protein"
"90","firmicutes","FIG00519666","FIG00519667: hypothetical protein"
"91","firmicutes","FIG01464599","FIG00531661: hypothetical protein"
"92","firmicutes","FIG01020190","FIG01020192: hypothetical protein"
"93","firmicutes","FIG00011987","Stage III sporulation protein AD"
"94","firmicutes","FIG01955011","Hypothetical protein DUF454"
"95","firmicutes","FIG00007180","Stage V sporulation protein AE (SpoVAE)"
"96","firmicutes","FIG01959649",NA
"97","firmicutes","FIG00617325","FIG00617327: hypothetical protein"
"98","firmicutes","FIG00519343","FIG00519347: hypothetical protein"
"99","firmicutes","FIG00627802","Short-chain fatty acids transporter"
"100","firmicutes","FIG01227784",NA
"101","firmicutes","FIG01386495","FIG00514524: hypothetical protein"
"102","firmicutes","FIG00513939","FIG00513940: hypothetical protein"
"103","firmicutes","FIG00660682","protein of unknown function DUF305"
"104","firmicutes","FIG01434533","FIG00624770: hypothetical protein"
"105","firmicutes","FIG01122116","replication initiator protein"
"106","firmicutes","FIG00556432","carboxyl-terminal protease"
"107","firmicutes","FIG00628653","FIG00628654: hypothetical protein"
"108","firmicutes","FIG00645206","FIG00645208: hypothetical protein"
"109","firmicutes","FIG00645203","FIG00645204: hypothetical protein"
"110","firmicutes","FIG00087623","Glycosyltransferase LafA, responsible for the formation of Glc-DAG"
"111","firmicutes","FIG00133143","Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)"
"112","firmicutes","FIG00526746","FIG00526749: hypothetical protein"
"113","firmicutes","FIG00646871","FIG00646872: hypothetical protein"
"114","firmicutes","FIG01959853",NA
"115","firmicutes","FIG00711296","FIG00711297: hypothetical protein"
"116","firmicutes","FIG01315691","possible bacteriophage Mu GP27-like protein"
"117","firmicutes","FIG00747079","FIG00747084: hypothetical protein"
"118","firmicutes","FIG01322573","subtilase family protein( EC:3.4.21.- )"
"119","firmicutes","FIG00521189","Major head protein"
"120","firmicutes","FIG00744670","FIG01116939: hypothetical protein"
"121","firmicutes","FIG01166406","FIG01166412: hypothetical protein"
"122","firmicutes","FIG01032282","FIG01032283: hypothetical protein"
"123","firmicutes","FIG01032289","FIG01032290: hypothetical protein"
"124","firmicutes","FIG00515821","FIG00515822: hypothetical protein"
"125","firmicutes","FIG00516105","FIG00516108: hypothetical protein"
"126","firmicutes","FIG00632071","FIG00632072: hypothetical protein"
"127","firmicutes","FIG00533185","FIG00533189: hypothetical protein"
"128","firmicutes","FIG01810102","sensor histidine kinase, putative virS"
"129","firmicutes","FIG00001402","Helicase loader DnaI"
"130","firmicutes","FIG01476529","Chloramphenicol acetyltransferase"
"131","firmicutes","FIG01592264","Conserved hypothetical protein 374"
"132","firmicutes","FIG00514417","FIG00514418: hypothetical protein"
"133","firmicutes","FIG01020353","UPF0059 membrane protein DSY1211"
"134","firmicutes","FIG01045941","Putative phage tail protein"
"135","firmicutes","FIG00658013","FIG00658014: hypothetical protein"
"136","firmicutes","FIG00523575","FIG00523576: hypothetical protein"
"137","firmicutes","FIG01470057","2-Hydroxy-6-Oxo-6-Phenylhexa-2,4-Dienoate hydrolase"
"138","firmicutes","FIG00520178","FIG00520180: hypothetical protein"
"139","firmicutes","FIG01809929","FIG00534611: hypothetical protein"
"140","firmicutes","FIG00521220","O-antigen export system permease protein RfbD"
"141","firmicutes","FIG00514236","putative lantibiotic ABC transporter, permease protein"
"142","firmicutes","FIG01032584","FIG01032585: hypothetical protein"
"143","firmicutes","FIG01032321","FIG01032323: hypothetical protein"
"144","firmicutes","FIG01032327","FIG01032328: hypothetical protein"
"145","firmicutes","FIG01505823","FIG00632254: hypothetical protein"
"146","firmicutes","FIG01020118","FIG01020122: hypothetical protein"
"147","firmicutes","FIG01020116","FIG01020117: hypothetical protein"
"148","firmicutes","FIG01020117","FIG01020118: hypothetical protein"
"149","firmicutes","FIG01020111","FIG01020113: hypothetical protein"
"150","firmicutes","FIG01031746","FIG01031748: hypothetical protein"
"151","firmicutes","FIG01031745","FIG01031746: hypothetical protein"
"152","firmicutes","FIG01696847","FIG00530929: hypothetical protein"
"153","firmicutes","FIG00647281","Ferric-uptake regulator"
"154","firmicutes","FIG00647288","FIG00647289: hypothetical protein"
"155","firmicutes","FIG00647136","FIG00647138: hypothetical protein"
"156","firmicutes","FIG01276569","HYPOTHETICAL/UNKNOWN PROTEIN"
"157","firmicutes","FIG01365622","Mu-like prophage FluMu protein gp29"
"158","firmicutes","FIG01020252","FIG01020253: hypothetical protein"
"159","firmicutes","FIG01020250","FIG01020252: hypothetical protein"
"160","firmicutes","FIG00021517","Cell division protein FtsQ"
"161","firmicutes","FIG01328895",NA
"162","firmicutes","FIG00744783","contains ATPase involved in DNA replication initiation domain"
"163","firmicutes","FIG00590310","FIG00590316: hypothetical protein"
"164","firmicutes","FIG01398007","LtrC-like protein"
"165","firmicutes","FIG00518672","FIG01031815: hypothetical protein"
"166","firmicutes","FIG01166800","CheY-like receiver domains"
"167","firmicutes","FIG00034652","Beta-galactosidase small subunit (EC 3.2.1.23)"
"168","firmicutes","FIG01020097","FIG01020098: hypothetical protein"
"169","firmicutes","FIG00513819","FIG00513822: hypothetical protein"
"170","firmicutes","FIG01520694","conserved protein"
"171","firmicutes","FIG00647073","FIG00647074: hypothetical protein"
"172","firmicutes","FIG00524753","FIG00524755: hypothetical protein"
"173","firmicutes","FIG00524461","FIG00524463: hypothetical protein"
"174","firmicutes","FIG00639067","Hypothetical protein yfdR"
"175","firmicutes","FIG00640476","putative phage tail protein"
"176","firmicutes","FIG01641969","protein of unknown function DUF820"
"177","firmicutes","FIG00079740","Xyloside transporter XynT"
"178","firmicutes","FIG00732427","Putative membrane transport protein"
"179","firmicutes","FIG01019931","FIG01019933: hypothetical protein"
"180","firmicutes","FIG01019938","rhoptry protein"
"181","firmicutes","FIG00645231","FIG00645234: hypothetical protein"
"182","firmicutes","FIG01736833","FIG00555104: hypothetical protein"
"183","firmicutes","FIG01328912","dehydrogenase clustered with L-fuconate utilization genes"
"184","firmicutes","FIG00745068","CAAX amino terminal protease family protein"
"185","firmicutes","FIG00590105","FIG00590108: hypothetical protein"
"186","firmicutes","FIG00648307","FIG00648308: hypothetical protein"
"187","firmicutes","FIG01032433","FIG01032434: hypothetical protein"
"188","firmicutes","FIG01032436","FIG01032438: hypothetical protein"
"189","firmicutes","FIG00847822","Beta 1,4 glucosyltransferase"
"190","firmicutes","FIG01558167","FIG00253762: hypothetical protein"
"191","firmicutes","FIG01961517",NA
"192","firmicutes","FIG01031859","FIG01031860: hypothetical protein"
"193","firmicutes","FIG01031853","FIG01031854: hypothetical protein"
"194","firmicutes","FIG01031857","FIG01031858: hypothetical protein"
"195","firmicutes","FIG01031855","FIG01031856: hypothetical protein"
"196","firmicutes","FIG00645174","FIG00645175: hypothetical protein"
"197","firmicutes","FIG00645176","FIG00645177: hypothetical protein"
"198","firmicutes","FIG00645177","FIG00645179: hypothetical protein"
"199","firmicutes","FIG00116849","FIG116849: hypothetical protein"
"200","firmicutes","FIG00617350","FIG01032327: hypothetical protein"
"201","firmicutes","FIG00528497","FIG00528498: hypothetical protein"
"202","firmicutes","FIG00645042","FIG00645044: hypothetical protein"
"203","firmicutes","FIG00525838","FIG00525840: hypothetical protein"
"204","firmicutes","FIG01400426","Xylanase"
"205","firmicutes","FIG01031823","FIG01031825: hypothetical protein"
"206","firmicutes","FIG01725188","FIG01032221: hypothetical protein"
"207","firmicutes","FIG00005587","Transcriptional regulator of rhamnose utilization, AraC family"
"208","firmicutes","FIG01430062","FIG00403399: hypothetical protein"
"209","firmicutes","FIG00937311","FIG00937312: hypothetical protein"
"210","firmicutes","FIG00645378","FIG00645380: hypothetical protein"
"211","firmicutes","FIG00645375","FIG00645378: hypothetical protein"
"212","firmicutes","FIG00529223","FIG00529226: hypothetical protein"
"213","firmicutes","FIG01199985","Phage-related baseplate assembly protein"
"214","firmicutes","FIG01055227","FIG01055228: hypothetical protein"
"215","firmicutes","FIG01113189","DNA modification methylase"
"216","firmicutes","FIG01378251","FIG00263499: hypothetical protein"
"217","firmicutes","FIG00521341","FIG00521363: hypothetical protein"
"218","firmicutes","FIG00744705","LPXTG-motif cell wall anchor domain"
"219","firmicutes","FIG00526694","FIG00526695: hypothetical protein"
"220","firmicutes","FIG01197508","FIG01197509: hypothetical protein"
"221","firmicutes","FIG01370934","Putative mannosyltransferase involved in polysaccharide biosynthesis"
"222","firmicutes","FIG00090522","Siroheme synthase / Precorrin-2 oxidase (EC 1.3.1.76) / Sirohydrochlorin ferrochelatase (EC 4.99.1.4) / Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)"
"223","firmicutes","FIG00529953","N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces"
"224","firmicutes","FIG01750893","membrane associated protein"
"225","firmicutes","FIG01383167","FIG00645166: hypothetical protein"
"226","firmicutes","FIG01669374","glycerophosphoryl diester phosphodiesterase"
"227","firmicutes","FIG00521138","FIG00521146: hypothetical protein"
"228","firmicutes","FIG01032031","FIG01032032: hypothetical protein"
"229","firmicutes","FIG00519456","FIG00519458: hypothetical protein"
"230","firmicutes","FIG00524657","FIG00524659: hypothetical protein"
"231","firmicutes","FIG00522480","FIG00522482: hypothetical protein"
"232","firmicutes","FIG01562990","FIG00526304: hypothetical protein"
"233","firmicutes","FIG00642976","DNA adenine methylase"
"234","firmicutes","FIG01954245","ABC transporter membrane-spanning permease, Pep export, Vex1"
"235","firmicutes","FIG00801226","Stress responsive alpha-beta barrel domain protein Dabb"
"236","firmicutes","FIG01032637","FIG01032639: hypothetical protein"
"237","firmicutes","FIG01648411","FIG00623347: hypothetical protein"
"238","firmicutes","FIG00003682","Stage 0 sporulation two-component response regulator (Spo0A)"
"239","firmicutes","FIG00517112","FIG00517113: hypothetical protein"
"240","firmicutes","FIG01650255","Response regulator (CheY-like receiver domain and HTH DNA-binding domain)"
"241","firmicutes","FIG00516440","FIG00516442: hypothetical protein"
"242","firmicutes","FIG01032571","FIG01032572: hypothetical protein"
"243","firmicutes","FIG00646881","FIG00646882: hypothetical protein"
"244","firmicutes","FIG01031791","FIG01031793: hypothetical protein"
"245","firmicutes","FIG01031793","FIG01031795: hypothetical protein"
"246","firmicutes","FIG00645039","FIG00645040: hypothetical protein"
"247","firmicutes","FIG01297554","Ferredoxin 3 fused to uncharacterized domain"
"248","firmicutes","FIG00530588","FIG00530593: hypothetical protein"
"249","firmicutes","FIG01304229","MSM (multiple sugar metabolism) operon regulatory protein"
"250","firmicutes","FIG01439984","FIG01020103: hypothetical protein"
"251","firmicutes","FIG01471923","Hypothetical protein, CF-19 family"
"252","firmicutes","FIG01377254","DNA relaxation protein homolog"
"253","firmicutes","FIG01196875","FIG01196876: hypothetical protein"
"254","firmicutes","FIG00520613","Ser-type protease"
"255","firmicutes","FIG00513906","FIG00513907: hypothetical protein"
"256","firmicutes","FIG00629975","Tn916, transcriptional regulator, putative"
"257","firmicutes","FIG00518811","FIG00518814: hypothetical protein"
"258","firmicutes","FIG00645234",NA
"259","firmicutes","FIG00645230","FIG00645231: hypothetical protein"
"260","firmicutes","FIG00023646","Putative metal-dependent phosphohydrolase with tandem HD motifs"
"261","firmicutes","FIG00776167","FIG00776168: hypothetical protein"
"262","firmicutes","FIG01020079","FIG01020080: hypothetical protein"
"263","firmicutes","FIG00014027","Stage II sporulation protein D (SpoIID)"
"264","firmicutes","FIG00626780","His-Xaa-Ser system radical SAM maturase HxsC"
"265","firmicutes","FIG00000990","Recombination inhibitory protein MutS2"
"266","firmicutes","FIG01228918","ErfK/YbiS/YcfS/YnhG family protein"
"267","firmicutes","FIG01032621","FIG01032623: hypothetical protein"
"268","firmicutes","FIG00470478","radical SAM domain protein protein"
"269","firmicutes","FIG01465979",NA
"270","firmicutes","FIG01517764","auxin-responsive GH3 protein homolog, putative"
"271","firmicutes","FIG00524941","FIG00524942: hypothetical protein"
"272","firmicutes","FIG00021808","Cell division protein BolA"
"273","firmicutes","FIG00520805","FIG00645020: hypothetical protein"
"274","firmicutes","FIG00520809","FIG00617288: hypothetical protein"
"275","firmicutes","FIG01871918","FIG00524145: hypothetical protein"
"276","firmicutes","FIG01241220","FIG01241221: hypothetical protein"
"277","firmicutes","FIG00515810","FIG00515811: hypothetical protein"
"278","firmicutes","FIG01032252","FIG01032253: hypothetical protein"
"279","firmicutes","FIG01032258","FIG01032259: hypothetical protein"
"280","firmicutes","FIG01032259","FIG01032261: hypothetical protein"
"281","firmicutes","FIG00512843","putative lantibiotic ABC transporter, membrane protein"
"282","firmicutes","FIG00668236","FIG00668237: hypothetical protein"
"283","firmicutes","FIG00646958","Ferredoxin:(2Fe-2S)-binding"
"284","firmicutes","FIG00646955","FIG00646956: hypothetical protein"
"285","firmicutes","FIG01366044","Rhodanese domain protein"
"286","firmicutes","FIG00647331","FIG00647332: hypothetical protein"
"287","firmicutes","FIG01031920","similar to Uncharacterized MobA-related protein"
"288","firmicutes","FIG01234072","FIG01234075: hypothetical protein"
"289","firmicutes","FIG00515485","FIG00515486: hypothetical protein"
"290","firmicutes","FIG01348999","VirK"
"291","firmicutes","FIG01020368","FIG01020372: hypothetical protein"
"292","firmicutes","FIG00073301","Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)"
"293","firmicutes","FIG00647166","FIG00647168: hypothetical protein"
"294","firmicutes","FIG01673464","conjugative transposon conserved hypothetical protein"
"295","firmicutes","FIG00524774","FIG00524775: hypothetical protein"
"296","firmicutes","FIG00669429","Transcriptional regulatory protein, LYSR family"
"297","firmicutes","FIG00514265","FIG00514266: hypothetical protein"
"298","firmicutes","FIG00514268","FIG00514269: hypothetical protein"
"299","firmicutes","FIG00004463","Stage IV sporulation protein B"
"300","firmicutes","FIG00083946","Phosphate transport system permease protein PstA (TC 3.A.1.7.1)"
"301","firmicutes","FIG01020166","FIG01020168: hypothetical protein"
"302","firmicutes","FIG01031711","FIG01031712: hypothetical protein"
"303","firmicutes","FIG01031715","FIG00514877: hypothetical protein"
"304","firmicutes","FIG01031718",NA
"305","firmicutes","FIG00038982","FIG038982: hypothetical protein"
"306","firmicutes","FIG00647103","FIG00647104: hypothetical protein"
"307","firmicutes","FIG00647109","putative glycosyl transferase family 2"
"308","firmicutes","FIG00044817","RNA polymerase sigma-70 factor, ECF family"
"309","firmicutes","FIG01228517",NA
"310","firmicutes","FIG00524042","Putative membrane protein"
"311","firmicutes","FIG01958897",NA
"312","firmicutes","FIG01956050","Integral membrane protein"
"313","firmicutes","FIG00527078","FIG00527080: hypothetical protein"
"314","firmicutes","FIG01227142","Site-specific recombinase XerD"
"315","firmicutes","FIG01056581","FIG01056582: hypothetical protein"
"316","firmicutes","FIG00773185","Fucose 4-O-acetylase related acetyltransferase"
"317","firmicutes","FIG01020169","FIG01020170: hypothetical protein"
"318","firmicutes","FIG01031712","FIG01031714: hypothetical protein"
"319","firmicutes","FIG01910466","poly-gamma-glutamate biosynthesis (capsule formation)"
"320","firmicutes","FIG01031717",NA
"321","firmicutes","FIG00646864","FIG00646867: hypothetical protein"
"322","firmicutes","FIG01914513","Metal-dependent hydrolase of the beta-lactamase superfamily III-like protein"
"323","firmicutes","FIG00533976","FIG00533987: hypothetical protein"
"324","firmicutes","FIG01121964","polar amino acid ABC transporter, inner membrane subunit"
"325","firmicutes","FIG00051303","Predicted nucleotidyltransferases"
"326","firmicutes","FIG00498303","FIG00498311: hypothetical protein"
"327","firmicutes","FIG01032126","FIG01032127: hypothetical protein"
"328","firmicutes","FIG01032124","FIG01032125: hypothetical protein"
"329","firmicutes","FIG00000249","ATP synthase epsilon chain (EC 3.6.3.14)"
"330","firmicutes","FIG00774550","FIG00774551: hypothetical protein"
"331","firmicutes","FIG01955848","putative ThiJ family intracellular protease/amidase"
"332","firmicutes","FIG01197663","FIG01197664: hypothetical protein"
"333","firmicutes","FIG00645108","FIG00645110: hypothetical protein"
"334","firmicutes","FIG01304530",NA
"335","firmicutes","FIG01119644","FIG01119645: hypothetical protein"
"336","firmicutes","FIG00104848","Phosphate transport system regulatory protein PhoU"
"337","firmicutes","FIG00522439","FIG00522440: hypothetical protein"
"338","firmicutes","FIG01546598","Hypothetical protein Cj1433c"
"339","firmicutes","FIG00009628","Programmed cell death toxin YdcE"
"340","firmicutes","FIG01032294","FIG01032295: hypothetical protein"
"341","firmicutes","FIG00517265","FIG00517267: hypothetical protein"
"342","firmicutes","FIG00531208","FIG00531210: hypothetical protein"
"343","firmicutes","FIG01386375","FIG00622945: hypothetical protein"
"344","firmicutes","FIG00521499","FIG00521505: hypothetical protein"
"345","firmicutes","FIG00671080","Phage-like element PBSX protein xkdQ"
"346","firmicutes","FIG01032687","FIG01032688: hypothetical protein"
"347","firmicutes","FIG01032684","FIG01032687: hypothetical protein"
"348","firmicutes","FIG01032689","FIG01032690: hypothetical protein"
"349","firmicutes","FIG01032688","FIG01032689: hypothetical protein"
"350","firmicutes","FIG00102469","Mu-like prophage FluMu I protein"
"351","firmicutes","FIG01445238","FIG00518470: hypothetical protein"
"352","firmicutes","FIG01021614","type III restriction system methylase"
"353","firmicutes","FIG00647271","FIG00647273: hypothetical protein"
"354","firmicutes","FIG00647273","FIG00647274: hypothetical protein"
"355","firmicutes","FIG00647180","FIG00647182: hypothetical protein"
"356","firmicutes","FIG01304267","TonB-dependent receptor; Enterobactin receptor IrgA"
"357","firmicutes","FIG01032209","FIG01032216: hypothetical protein"
"358","firmicutes","FIG01703547","two-component response regulator ResD"
"359","firmicutes","FIG00528844","FIG00528845: hypothetical protein"
"360","firmicutes","FIG01032207","FIG01032208: hypothetical protein"
"361","firmicutes","FIG01020207","FIG01020208: hypothetical protein"
"362","firmicutes","FIG00748159","FIG00748161: hypothetical protein"
"363","firmicutes","FIG00148695","FIG004131: Transcriptional regulator, ArsR family"
"364","firmicutes","FIG01957363","Phage capsid and scaffold"
"365","firmicutes","FIG01055212","FIG01055213: hypothetical protein"
"366","firmicutes","FIG01303802","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)"
"367","firmicutes","FIG01355673","Phage virion morphogenesis (putative tail completion) protein"
"368","firmicutes","FIG01032410","small acid-soluble spore protein beta"
"369","firmicutes","FIG00514031","FIG00514032: hypothetical protein"
"370","firmicutes","FIG01020043","FIG01020046: hypothetical protein"
"371","firmicutes","FIG01020046","FIG01020048: hypothetical protein"
"372","firmicutes","FIG00002620","Tyrosine-protein kinase transmembrane modulator EpsC"
"373","firmicutes","FIG00647022","FIG137478: Hypothetical protein YbgI"
"374","firmicutes","FIG00066280","V-type ATP synthase subunit G (EC 3.6.3.14)"
"375","firmicutes","FIG00627540","FIG00627541: hypothetical protein"
"376","firmicutes","FIG01413302","Probable cation-transporting ATPase"
"377","firmicutes","FIG00513089","FIG00513090: hypothetical protein"
"378","firmicutes","FIG01396362","FIG00645368: hypothetical protein"
"379","firmicutes","FIG00744078","FIG00744079: hypothetical protein"
"380","firmicutes","FIG00001385","N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)"
"381","firmicutes","FIG01005562","HAD-superfamily hydrolase subfamily IA, variant 3"
"382","firmicutes","FIG01700818","Protein of unknown function DUF45"
"383","firmicutes","FIG01408272","HD-domain protein"
"384","firmicutes","FIG00646983","FIG00646984: hypothetical protein"
"385","firmicutes","FIG01325900","Amino acid ABC-type transporter, ATPase component"
"386","firmicutes","FIG01031806","FIG00520221: hypothetical protein"
"387","firmicutes","FIG01031801","FIG00528420: hypothetical protein"
"388","firmicutes","FIG01031803","FIG01031805: hypothetical protein"
"389","firmicutes","FIG01031808","FIG01031809: hypothetical protein"
"390","firmicutes","FIG00011842","Stage V sporulation protein AB (SpoVAB)"
"391","firmicutes","FIG00645186","FIG00645188: hypothetical protein"
"392","firmicutes","FIG01318800","Protein YaiC"
"393","firmicutes","FIG01813517","FIG00255829: hypothetical protein"
"394","firmicutes","FIG00470174","FIG00470179: hypothetical protein"
"395","firmicutes","FIG00474668","FIG00474675: hypothetical protein"
"396","firmicutes","FIG01270997","FIG01271000: hypothetical protein"
"397","firmicutes","FIG00750583","FIG00750585: hypothetical protein"
"398","firmicutes","FIG01686552","predicted phosphoesterase"
"399","firmicutes","FIG01032605","FIG01032608: hypothetical protein"
"400","firmicutes","FIG01032603","FIG01032605: hypothetical protein"
"401","firmicutes","FIG01491669","Uncharacterized protein encoded in hypervariable junctions of pilus gene clusters"
"402","firmicutes","FIG00004283","Propanediol utilization polyhedral body protein PduK"
"403","firmicutes","FIG00513322","FIG00513323: hypothetical protein"
"404","firmicutes","FIG00847123","hypothetical protein, putative phage associated protein"
"405","firmicutes","FIG00002853","ATP-dependent RNA helicase YejH"
"406","firmicutes","FIG01662327","CylB protein"
"407","firmicutes","FIG01455981","FIG00471689: hypothetical protein"
"408","firmicutes","FIG00914689","FIG01077539: hypothetical protein"
"409","firmicutes","FIG01910516","FIG00191639: hypothetical protein"
"410","firmicutes","FIG00645066","FIG00645071: hypothetical protein"
"411","firmicutes","FIG00627336",NA
"412","firmicutes","FIG00576785","Carbon-nitrogen hydrolase family protein"
"413","firmicutes","FIG00532608","FIG00532614: hypothetical protein"
"414","firmicutes","FIG00617264","FIG00617265: hypothetical protein"
"415","firmicutes","FIG00525929","FIG00525930: hypothetical protein"
"416","firmicutes","FIG01526206","possible cell surface protein with gram positive anchor domain"
"417","firmicutes","FIG00669078","replication initiator protein A"
"418","firmicutes","FIG00745400","Lipase/esterase"
"419","firmicutes","FIG00743805","Periplasmic binding protein/LacI transcriptional regulator"
"420","firmicutes","FIG01032017","FIG01032018: hypothetical protein"
"421","firmicutes","FIG01032012","FIG01032013: hypothetical protein"
"422","firmicutes","FIG00645267","FIG00645271: hypothetical protein"
"423","firmicutes","FIG00520086","FIG00520088: hypothetical protein"
