"","phylum","cutoff","termset","term","gene","description","effectsize"
"50","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00049959","Negative regulator of beta-lactamase expression",0.1091255358295
"51","actinobacteria","strong","level1","Virulence, Disease and Defense","FIG00001932","Probable Co/Zn/Cd efflux system membrane fusion protein",0.105340194116628
"52","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00134202","Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",0.804142139054501
"53","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00135232","Galactose permease",0.753313131978141
"54","actinobacteria","strong","level2","Di- and oligosaccharides","FIG01257822","PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)",0.676512490694482
"55","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00002891","Lactose phosphotransferase system repressor",0.446403504061411
"56","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00002321","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",0.273977672777117
"57","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00002376","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",0.273977672777117
"58","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00005378","Transcriptional repressor of the lac operon",0.22727997452958
"59","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00003655","PTS system, lactose-specific IIA component (EC 2.7.1.69)",0.216932923713642
"60","actinobacteria","strong","level2","Di- and oligosaccharides","FIG01259203","Trehalose operon transcriptional repressor",0.201607641820806
"61","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00062548","Predicted beta-glucoside-regulated ABC transport system, permease component 1, COG1175",0.174433012482925
"62","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00066026","Predicted beta-glucoside-regulated ABC transport system, sugar binding component, COG1653",0.157305632219457
"63","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"64","actinobacteria","strong","level2","Di- and oligosaccharides","FIG01591039","Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon",0.135424185744616
"65","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00181043","Pullulanase (EC 3.2.1.41)",0.117714325508938
"66","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00090765","Lactose and galactose permease, GPH translocator family",0.11078279758295
"67","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00020533","Sucrose permease, major facilitator superfamily",0.0714014228453733
"68","actinobacteria","strong","level2","Di- and oligosaccharides","FIG00001011","Beta-glucoside bgl operon antiterminator, BglG family",0.0625939943446255
"69","actinobacteria","strong","level2","Monosaccharides","FIG01356109","Arabinose-proton symporter",1.56661631575082
"70","actinobacteria","strong","level2","Monosaccharides","FIG00001813","Gluconate utilization system Gnt-I transcriptional repressor",1.27760283421972
"71","actinobacteria","strong","level2","Monosaccharides","FIG01322883","rhamnogalacturonan acetylesterase",0.7689844471416
"72","actinobacteria","strong","level2","Monosaccharides","FIG00106273","D-xylose proton-symporter XylE",0.516912677236848
"73","actinobacteria","strong","level2","Monosaccharides","FIG00135459","2-ketogluconate utilization repressor PtxS",0.395903116514777
"74","actinobacteria","strong","level2","Monosaccharides","FIG00534821","Tagatose-1-phosphate kinase TagK",0.251877076558809
"75","actinobacteria","strong","level2","Monosaccharides","FIG00004789","Glucitol operon activator protein",0.232742601055008
"76","actinobacteria","strong","level2","Monosaccharides","FIG00139819","Predicted L-arabinose ABC transport system, periplasmic arabinose-binding protein",0.232277953549747
"77","actinobacteria","strong","level2","Monosaccharides","FIG00002890","Arabinose operon regulatory protein",0.207426957718631
"78","actinobacteria","strong","level2","Monosaccharides","FIG00013923","Xylanase",0.177244314728535
"79","actinobacteria","strong","level2","Monosaccharides","FIG00004715","PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)",0.167875296348218
"80","actinobacteria","strong","level2","Monosaccharides","FIG01328912","dehydrogenase clustered with L-fuconate utilization genes",0.158754731741138
"81","actinobacteria","strong","level2","Monosaccharides","FIG00139215","Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",0.157720341808063
"82","actinobacteria","strong","level2","Monosaccharides","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"83","actinobacteria","strong","level2","Monosaccharides","FIG00145126","D-xylose proton-symporter XylT",0.152338327682474
"84","actinobacteria","strong","level2","Monosaccharides","FIG00001331","PTS system, galactitol-specific IIA component (EC 2.7.1.69)",0.137618306735266
"85","actinobacteria","strong","level2","Monosaccharides","FIG00001457","PTS system, galactitol-specific IIB component (EC 2.7.1.69)",0.121420378581147
"86","actinobacteria","strong","level2","Monosaccharides","FIG00003484","Lactaldehyde reductase (EC 1.1.1.77)",0.102932596983129
"87","actinobacteria","strong","level2","Monosaccharides","FIG01320952","Glycerate kinase (EC 2.7.1.31)",0.0731127332580481
"88","actinobacteria","strong","level3","D-Tagatose_and_Galactitol_Utilization","FIG00534821","Tagatose-1-phosphate kinase TagK",0.251877076558809
"89","actinobacteria","strong","level3","D-Tagatose_and_Galactitol_Utilization","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"90","actinobacteria","strong","level3","D-Tagatose_and_Galactitol_Utilization","FIG00001331","PTS system, galactitol-specific IIA component (EC 2.7.1.69)",0.137618306735266
"91","actinobacteria","strong","level3","D-Tagatose_and_Galactitol_Utilization","FIG00001457","PTS system, galactitol-specific IIB component (EC 2.7.1.69)",0.121420378581147
"92","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00135232","Galactose permease",0.753313131978141
"93","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00002891","Lactose phosphotransferase system repressor",0.446403504061411
"94","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00002321","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",0.273977672777117
"95","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00002376","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",0.273977672777117
"96","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00005378","Transcriptional repressor of the lac operon",0.22727997452958
"97","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00003655","PTS system, lactose-specific IIA component (EC 2.7.1.69)",0.216932923713642
"98","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"99","actinobacteria","strong","level3","Lactose_and_Galactose_Uptake_and_Utilization","FIG00090765","Lactose and galactose permease, GPH translocator family",0.11078279758295
"100","actinobacteria","med","level1","Carbohydrates","FIG01356109","Arabinose-proton symporter",1.56661631575082
"101","actinobacteria","med","level1","Carbohydrates","FIG00001813","Gluconate utilization system Gnt-I transcriptional repressor",1.27760283421972
"102","actinobacteria","med","level1","Carbohydrates","FIG00134202","Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",0.804142139054501
"103","actinobacteria","med","level1","Carbohydrates","FIG01955841","related to 6-phospho-3-hexuloisomerase",0.790576794950816
"104","actinobacteria","med","level1","Carbohydrates","FIG01322883","rhamnogalacturonan acetylesterase",0.7689844471416
"105","actinobacteria","med","level1","Carbohydrates","FIG00135232","Galactose permease",0.753313131978141
"106","actinobacteria","med","level1","Carbohydrates","FIG01257822","PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)",0.676512490694482
"107","actinobacteria","med","level1","Carbohydrates","FIG00106273","D-xylose proton-symporter XylE",0.516912677236848
"108","actinobacteria","med","level1","Carbohydrates","FIG00002891","Lactose phosphotransferase system repressor",0.446403504061411
"109","actinobacteria","med","level1","Carbohydrates","FIG00135459","2-ketogluconate utilization repressor PtxS",0.395903116514777
"110","actinobacteria","med","level1","Carbohydrates","FIG00002321","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",0.273977672777117
"111","actinobacteria","med","level1","Carbohydrates","FIG00002376","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",0.273977672777117
"112","actinobacteria","med","level1","Carbohydrates","FIG00534821","Tagatose-1-phosphate kinase TagK",0.251877076558809
"113","actinobacteria","med","level1","Carbohydrates","FIG00004789","Glucitol operon activator protein",0.232742601055008
"114","actinobacteria","med","level1","Carbohydrates","FIG00139819","Predicted L-arabinose ABC transport system, periplasmic arabinose-binding protein",0.232277953549747
"115","actinobacteria","med","level1","Carbohydrates","FIG00005378","Transcriptional repressor of the lac operon",0.22727997452958
"116","actinobacteria","med","level1","Carbohydrates","FIG00520304","Xylitol dehydrogenase (EC 1.1.1.9)",0.226918244103078
"117","actinobacteria","med","level1","Carbohydrates","FIG00146581","Beta-galactosidase 3",0.220247023588085
"118","actinobacteria","med","level1","Carbohydrates","FIG00003655","PTS system, lactose-specific IIA component (EC 2.7.1.69)",0.216932923713642
"119","actinobacteria","med","level1","Carbohydrates","FIG00002890","Arabinose operon regulatory protein",0.207426957718631
"120","actinobacteria","med","level1","Carbohydrates","FIG01259203","Trehalose operon transcriptional repressor",0.201607641820806
"121","actinobacteria","med","level1","Carbohydrates","FIG00013923","Xylanase",0.177244314728535
"122","actinobacteria","med","level1","Carbohydrates","FIG00062548","Predicted beta-glucoside-regulated ABC transport system, permease component 1, COG1175",0.174433012482925
"123","actinobacteria","med","level1","Carbohydrates","FIG00003507","6-phospho-beta-galactosidase (EC 3.2.1.85)",0.169641019215394
"124","actinobacteria","med","level1","Carbohydrates","FIG00004715","PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)",0.167875296348218
"125","actinobacteria","med","level1","Carbohydrates","FIG01328912","dehydrogenase clustered with L-fuconate utilization genes",0.158754731741138
"126","actinobacteria","med","level1","Carbohydrates","FIG00139215","Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",0.157720341808063
"127","actinobacteria","med","level1","Carbohydrates","FIG00066026","Predicted beta-glucoside-regulated ABC transport system, sugar binding component, COG1653",0.157305632219457
"128","actinobacteria","med","level1","Carbohydrates","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"129","actinobacteria","med","level1","Carbohydrates","FIG00145126","D-xylose proton-symporter XylT",0.152338327682474
"130","actinobacteria","med","level1","Carbohydrates","FIG00003605","CoA-acylating propionaldehyde dehydrogenase",0.151236908204516
"131","actinobacteria","med","level1","Carbohydrates","FIG00002159","PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)",0.148555305310639
"132","actinobacteria","med","level1","Carbohydrates","FIG01305829","N-Acetyl-D-glucosamine permease 2, possible",0.146078004097902
"133","actinobacteria","med","level1","Carbohydrates","FIG00001331","PTS system, galactitol-specific IIA component (EC 2.7.1.69)",0.137618306735266
"134","actinobacteria","med","level1","Carbohydrates","FIG00001904","Outer surface protein of unknown function, cellobiose operon",0.136666876255259
"135","actinobacteria","med","level1","Carbohydrates","FIG01591039","Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon",0.135424185744616
"136","actinobacteria","med","level1","Carbohydrates","FIG00001457","PTS system, galactitol-specific IIB component (EC 2.7.1.69)",0.121420378581147
"137","actinobacteria","med","level1","Carbohydrates","FIG00181043","Pullulanase (EC 3.2.1.41)",0.117714325508938
"138","actinobacteria","med","level1","Carbohydrates","FIG00090765","Lactose and galactose permease, GPH translocator family",0.11078279758295
"139","actinobacteria","med","level1","Carbohydrates","FIG00003484","Lactaldehyde reductase (EC 1.1.1.77)",0.102932596983129
"140","actinobacteria","med","level1","Carbohydrates","FIG01320952","Glycerate kinase (EC 2.7.1.31)",0.0731127332580481
"141","actinobacteria","med","level1","Carbohydrates","FIG00020533","Sucrose permease, major facilitator superfamily",0.0714014228453733
"142","actinobacteria","med","level1","Carbohydrates","FIG00149107","Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, periplasmic substrate-binding protein",0.0627884810531687
"143","actinobacteria","med","level1","Carbohydrates","FIG00001011","Beta-glucoside bgl operon antiterminator, BglG family",0.0625939943446255
"144","actinobacteria","med","level1","Carbohydrates","FIG00105281","Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, permease component 2",0.0619226497139956
"145","actinobacteria","med","level1","Carbohydrates","FIG00088103","Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, permease component 1",0.0617065834965766
"146","actinobacteria","med","level1","Carbohydrates","FIG00003530","Sucrose operon repressor ScrR, LacI family",0.0574440959717785
"147","actinobacteria","med","level1","Carbohydrates","FIG00037240","Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)",0.0532289594065784
"148","actinobacteria","med","level1","Carbohydrates","FIG00002177","N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family",0.0519862456430917
"149","actinobacteria","med","level1","Carbohydrates","FIG00130805","Ribitol/Xylitol/Arabitol transporter, MFS superfamily",0.0432140609327176
"150","actinobacteria","med","level1","Phages, Prophages, Transposable elements","FIG00037500","Phage minor capsid protein",0.108197134365229
"151","actinobacteria","med","level1","Phages, Prophages, Transposable elements","FIG01304444","Phage capsid and scaffold",0.0805967481526026
"152","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00033787","Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family",0.46571667282724
"153","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00340352","Heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase:Heavy metal translocating P-type ATPase",0.32691156661348
"154","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00026595","ABC transporter membrane-spanning permease, Pep export, Vex3",0.322119458984568
"155","actinobacteria","med","level1","Virulence, Disease and Defense","FIG01291525","Fibronectin-binding protein",0.253881984694771
"156","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00589406","Amino-acid ABC transporter ATP-binding protein PebC",0.217982001329706
"157","actinobacteria","med","level1","Virulence, Disease and Defense","FIG01409860","Cobalt-zinc-cadmium resistance protein",0.168143014708426
"158","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00001179","Macrolide-specific efflux protein MacA",0.145069917795365
"159","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00945464","CAMP factor",0.144201779233702
"160","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00028865","ABC transporter, ATP-binding protein Vex2",0.134898617390609
"161","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00049959","Negative regulator of beta-lactamase expression",0.1091255358295
"162","actinobacteria","med","level1","Virulence, Disease and Defense","FIG00001932","Probable Co/Zn/Cd efflux system membrane fusion protein",0.105340194116628
"163","actinobacteria","med","level2","Bacteriophage structural proteins","FIG00037500","Phage minor capsid protein",0.108197134365229
"164","actinobacteria","med","level2","Bacteriophage structural proteins","FIG01304444","Phage capsid and scaffold",0.0805967481526026
"165","actinobacteria","med","level2","Di- and oligosaccharides","FIG00134202","Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",0.804142139054501
"166","actinobacteria","med","level2","Di- and oligosaccharides","FIG00135232","Galactose permease",0.753313131978141
"167","actinobacteria","med","level2","Di- and oligosaccharides","FIG01257822","PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)",0.676512490694482
"168","actinobacteria","med","level2","Di- and oligosaccharides","FIG00002891","Lactose phosphotransferase system repressor",0.446403504061411
"169","actinobacteria","med","level2","Di- and oligosaccharides","FIG00002321","Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)",0.273977672777117
"170","actinobacteria","med","level2","Di- and oligosaccharides","FIG00002376","Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)",0.273977672777117
"171","actinobacteria","med","level2","Di- and oligosaccharides","FIG00005378","Transcriptional repressor of the lac operon",0.22727997452958
"172","actinobacteria","med","level2","Di- and oligosaccharides","FIG00003655","PTS system, lactose-specific IIA component (EC 2.7.1.69)",0.216932923713642
"173","actinobacteria","med","level2","Di- and oligosaccharides","FIG01259203","Trehalose operon transcriptional repressor",0.201607641820806
"174","actinobacteria","med","level2","Di- and oligosaccharides","FIG00062548","Predicted beta-glucoside-regulated ABC transport system, permease component 1, COG1175",0.174433012482925
"175","actinobacteria","med","level2","Di- and oligosaccharides","FIG00003507","6-phospho-beta-galactosidase (EC 3.2.1.85)",0.169641019215394
"176","actinobacteria","med","level2","Di- and oligosaccharides","FIG00066026","Predicted beta-glucoside-regulated ABC transport system, sugar binding component, COG1653",0.157305632219457
"177","actinobacteria","med","level2","Di- and oligosaccharides","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"178","actinobacteria","med","level2","Di- and oligosaccharides","FIG00001904","Outer surface protein of unknown function, cellobiose operon",0.136666876255259
"179","actinobacteria","med","level2","Di- and oligosaccharides","FIG01591039","Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon",0.135424185744616
"180","actinobacteria","med","level2","Di- and oligosaccharides","FIG00181043","Pullulanase (EC 3.2.1.41)",0.117714325508938
"181","actinobacteria","med","level2","Di- and oligosaccharides","FIG00090765","Lactose and galactose permease, GPH translocator family",0.11078279758295
"182","actinobacteria","med","level2","Di- and oligosaccharides","FIG00020533","Sucrose permease, major facilitator superfamily",0.0714014228453733
"183","actinobacteria","med","level2","Di- and oligosaccharides","FIG00001011","Beta-glucoside bgl operon antiterminator, BglG family",0.0625939943446255
"184","actinobacteria","med","level2","Di- and oligosaccharides","FIG00003530","Sucrose operon repressor ScrR, LacI family",0.0574440959717785
"185","actinobacteria","med","level2","Monosaccharides","FIG01356109","Arabinose-proton symporter",1.56661631575082
"186","actinobacteria","med","level2","Monosaccharides","FIG00001813","Gluconate utilization system Gnt-I transcriptional repressor",1.27760283421972
"187","actinobacteria","med","level2","Monosaccharides","FIG01322883","rhamnogalacturonan acetylesterase",0.7689844471416
"188","actinobacteria","med","level2","Monosaccharides","FIG00106273","D-xylose proton-symporter XylE",0.516912677236848
"189","actinobacteria","med","level2","Monosaccharides","FIG00135459","2-ketogluconate utilization repressor PtxS",0.395903116514777
"190","actinobacteria","med","level2","Monosaccharides","FIG00534821","Tagatose-1-phosphate kinase TagK",0.251877076558809
"191","actinobacteria","med","level2","Monosaccharides","FIG00004789","Glucitol operon activator protein",0.232742601055008
"192","actinobacteria","med","level2","Monosaccharides","FIG00139819","Predicted L-arabinose ABC transport system, periplasmic arabinose-binding protein",0.232277953549747
"193","actinobacteria","med","level2","Monosaccharides","FIG00002890","Arabinose operon regulatory protein",0.207426957718631
"194","actinobacteria","med","level2","Monosaccharides","FIG00013923","Xylanase",0.177244314728535
"195","actinobacteria","med","level2","Monosaccharides","FIG00004715","PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)",0.167875296348218
"196","actinobacteria","med","level2","Monosaccharides","FIG01328912","dehydrogenase clustered with L-fuconate utilization genes",0.158754731741138
"197","actinobacteria","med","level2","Monosaccharides","FIG00139215","Hypothetical glycoside hydrolase, family 43, similar to arabinosidase",0.157720341808063
"198","actinobacteria","med","level2","Monosaccharides","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"199","actinobacteria","med","level2","Monosaccharides","FIG00145126","D-xylose proton-symporter XylT",0.152338327682474
"200","actinobacteria","med","level2","Monosaccharides","FIG00001331","PTS system, galactitol-specific IIA component (EC 2.7.1.69)",0.137618306735266
"201","actinobacteria","med","level2","Monosaccharides","FIG00001457","PTS system, galactitol-specific IIB component (EC 2.7.1.69)",0.121420378581147
"202","actinobacteria","med","level2","Monosaccharides","FIG00003484","Lactaldehyde reductase (EC 1.1.1.77)",0.102932596983129
"203","actinobacteria","med","level2","Monosaccharides","FIG01320952","Glycerate kinase (EC 2.7.1.31)",0.0731127332580481
"204","actinobacteria","med","level2","Monosaccharides","FIG00037240","Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)",0.0532289594065784
"205","actinobacteria","med","level3","Beta-Glucoside_Metabolism","FIG01257822","PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)",0.676512490694482
"206","actinobacteria","med","level3","Beta-Glucoside_Metabolism","FIG00062548","Predicted beta-glucoside-regulated ABC transport system, permease component 1, COG1175",0.174433012482925
"207","actinobacteria","med","level3","Beta-Glucoside_Metabolism","FIG00066026","Predicted beta-glucoside-regulated ABC transport system, sugar binding component, COG1653",0.157305632219457
"208","actinobacteria","med","level3","Beta-Glucoside_Metabolism","FIG00001904","Outer surface protein of unknown function, cellobiose operon",0.136666876255259
"209","actinobacteria","med","level3","Beta-Glucoside_Metabolism","FIG00001011","Beta-glucoside bgl operon antiterminator, BglG family",0.0625939943446255
"210","actinobacteria","med","level3","D-Tagatose_and_Galactitol_Utilization","FIG00534821","Tagatose-1-phosphate kinase TagK",0.251877076558809
"211","actinobacteria","med","level3","D-Tagatose_and_Galactitol_Utilization","FIG00229360","Tagatose-6-phosphate kinase (EC 2.7.1.144)",0.153560897112947
"212","actinobacteria","med","level3","D-Tagatose_and_Galactitol_Utilization","FIG00001331","PTS system, galactitol-specific IIA component (EC 2.7.1.69)",0.137618306735266
"213","actinobacteria","med","level3","D-Tagatose_and_Galactitol_Utilization","FIG00001457","PTS system, galactitol-specific IIB component (EC 2.7.1.69)",0.121420378581147
"214","actinobacteria","med","level3","Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway","FIG00149107","Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, periplasmic substrate-binding protein",0.0627884810531687
